nohup: ignoring input
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:171: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
Using device: cuda:0
Loading data...
Classes: ['browsing', 'chat', 'email', 'ftp', 'p2p', 'streaming', 'voip']
Train samples: 13281, Val: 1383, Test: 1384
Number of classes: 7

Training MobileNetV2
  Parameters: 2.23M (trainable: 2.23M)
/workspace/yqm/NetKD/scripts/exp1_student_baseline.py:115: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
  Epoch 18/50: Loss=0.5808, Train Acc=94.91%, Val Acc=94.14%
  Epoch 19/50: Loss=0.5631, Train Acc=95.54%, Val Acc=95.01%
  Epoch 20/50: Loss=0.5631, Train Acc=95.56%, Val Acc=95.16%
  Epoch 21/50: Loss=0.5571, Train Acc=95.90%, Val Acc=95.23%
  Epoch 22/50: Loss=0.5432, Train Acc=96.45%, Val Acc=95.66%
  Epoch 23/50: Loss=0.5493, Train Acc=96.27%, Val Acc=95.66%
  Epoch 24/50: Loss=0.5288, Train Acc=96.91%, Val Acc=95.44%
  Epoch 25/50: Loss=0.5229, Train Acc=97.22%, Val Acc=96.10%
  Epoch 26/50: Loss=0.5214, Train Acc=97.11%, Val Acc=95.37%
  Epoch 27/50: Loss=0.5197, Train Acc=97.37%, Val Acc=95.95%
  Epoch 28/50: Loss=0.5078, Train Acc=97.78%, Val Acc=95.73%
  Epoch 29/50: Loss=0.5044, Train Acc=98.00%, Val Acc=96.67%
  Epoch 30/50: Loss=0.4977, Train Acc=98.23%, Val Acc=96.67%
  Epoch 31/50: Loss=0.4954, Train Acc=98.34%, Val Acc=96.89%
  Epoch 32/50: Loss=0.4898, Train Acc=98.61%, Val Acc=96.96%
  Epoch 33/50: Loss=0.4900, Train Acc=98.50%, Val Acc=97.32%
  Epoch 34/50: Loss=0.4852, Train Acc=98.77%, Val Acc=97.32%
  Epoch 35/50: Loss=0.4776, Train Acc=99.05%, Val Acc=97.54%
  Epoch 36/50: Loss=0.4748, Train Acc=99.13%, Val Acc=97.11%
  Epoch 37/50: Loss=0.4704, Train Acc=99.28%, Val Acc=97.54%
  Epoch 38/50: Loss=0.4723, Train Acc=99.07%, Val Acc=97.83%
  Epoch 39/50: Loss=0.4683, Train Acc=99.31%, Val Acc=97.83%
  Epoch 40/50: Loss=0.4703, Train Acc=99.28%, Val Acc=97.54%
  Epoch 41/50: Loss=0.4675, Train Acc=99.29%, Val Acc=97.76%
  Epoch 42/50: Loss=0.4645, Train Acc=99.53%, Val Acc=97.54%
  Epoch 43/50: Loss=0.4626, Train Acc=99.60%, Val Acc=97.83%
  Epoch 44/50: Loss=0.4642, Train Acc=99.41%, Val Acc=97.90%
  Epoch 45/50: Loss=0.4604, Train Acc=99.60%, Val Acc=97.76%
  Epoch 46/50: Loss=0.4600, Train Acc=99.70%, Val Acc=97.69%
  Epoch 47/50: Loss=0.4599, Train Acc=99.68%, Val Acc=97.83%
  Epoch 48/50: Loss=0.4602, Train Acc=99.65%, Val Acc=97.76%
  Epoch 49/50: Loss=0.4604, Train Acc=99.68%, Val Acc=97.83%
  Epoch 50/50: Loss=0.4594, Train Acc=99.68%, Val Acc=97.76%
  Best Val Acc: 97.90%, Test Acc: 97.25%
  Training Time: 3.3 minutes

Training MobileNetV3-Large
  Parameters: 4.21M (trainable: 4.21M)
  Epoch 1/50: Loss=2.0728, Train Acc=55.91%, Val Acc=68.19%
  Epoch 2/50: Loss=1.1184, Train Acc=72.08%, Val Acc=80.26%
  Epoch 3/50: Loss=0.9657, Train Acc=78.78%, Val Acc=85.97%
  Epoch 4/50: Loss=0.8521, Train Acc=83.51%, Val Acc=87.20%
  Epoch 5/50: Loss=0.7763, Train Acc=86.68%, Val Acc=90.67%
  Epoch 6/50: Loss=0.7055, Train Acc=90.39%, Val Acc=92.34%
  Epoch 7/50: Loss=0.6805, Train Acc=91.39%, Val Acc=92.70%
  Epoch 8/50: Loss=0.6391, Train Acc=93.35%, Val Acc=94.14%
  Epoch 9/50: Loss=0.6336, Train Acc=93.45%, Val Acc=93.56%
  Epoch 10/50: Loss=0.6116, Train Acc=94.52%, Val Acc=95.44%
  Epoch 11/50: Loss=0.5843, Train Acc=95.29%, Val Acc=95.23%
  Epoch 12/50: Loss=0.5585, Train Acc=96.27%, Val Acc=96.31%
  Epoch 13/50: Loss=0.5413, Train Acc=96.94%, Val Acc=96.53%
  Epoch 14/50: Loss=0.5235, Train Acc=97.42%, Val Acc=95.88%
  Epoch 15/50: Loss=0.5239, Train Acc=97.36%, Val Acc=96.38%
  Epoch 16/50: Loss=0.5040, Train Acc=98.17%, Val Acc=97.18%
  Epoch 17/50: Loss=0.5001, Train Acc=98.23%, Val Acc=96.67%
  Epoch 18/50: Loss=0.5030, Train Acc=98.03%, Val Acc=96.75%
  Epoch 19/50: Loss=0.5040, Train Acc=98.10%, Val Acc=97.04%
  Epoch 20/50: Loss=0.4965, Train Acc=98.25%, Val Acc=96.89%
  Epoch 21/50: Loss=0.4921, Train Acc=98.41%, Val Acc=97.25%
  Epoch 22/50: Loss=0.4838, Train Acc=98.77%, Val Acc=97.18%
  Epoch 23/50: Loss=0.4814, Train Acc=98.95%, Val Acc=97.76%
  Epoch 24/50: Loss=0.4823, Train Acc=98.72%, Val Acc=97.25%
  Epoch 25/50: Loss=0.4861, Train Acc=98.61%, Val Acc=97.32%
  Epoch 26/50: Loss=0.4785, Train Acc=99.00%, Val Acc=97.69%
  Epoch 27/50: Loss=0.4705, Train Acc=99.29%, Val Acc=97.69%
  Epoch 28/50: Loss=0.4718, Train Acc=99.17%, Val Acc=97.76%
  Epoch 29/50: Loss=0.4680, Train Acc=99.32%, Val Acc=97.83%
  Epoch 30/50: Loss=0.4645, Train Acc=99.46%, Val Acc=97.69%
  Epoch 31/50: Loss=0.4589, Train Acc=99.64%, Val Acc=98.19%
  Epoch 32/50: Loss=0.4585, Train Acc=99.65%, Val Acc=97.76%
